"ias","iats","lpa_profile","CPROB1","CPROB2","CPROB3","kmeans_cluster"
60,34,1,0.693691086281785,0.30630054741501,8.36630320476228e-06,3
77,54,2,0.0198960062010524,0.954323022201288,0.0257809715976593,1
64,66,2,0.000231919580139549,0.689595181215392,0.310172899204468,3
89,30,1,0.973152846342689,0.0268459780797161,1.17557759461176e-06,2
84,58,2,0.00876687958945445,0.875786226898751,0.115446893511795,1
87,40,1,0.657213264859815,0.342527847241587,0.000258887898598351,2
96,82,3,6.97443210187941e-08,0.00311066540937954,0.996889264846299,1
83,46,2,0.218612540300109,0.778617444124001,0.00277001557589042,2
87,55,2,0.0253597780656046,0.915729292456945,0.0589109294774503,1
77,30,1,0.948369615995221,0.0516292451220428,1.13888273668752e-06,2
85,47,2,0.190799931123552,0.804882991516223,0.00431707736022499,2
81,68,3,0.000158974948543517,0.317522727965659,0.682318297085798,1
51,37,2,0.368176180682185,0.631798722103174,2.50972146405486e-05,3
80,49,2,0.0915323431185993,0.901893069477101,0.00657458740429994,1
75,39,1,0.563197914656137,0.436678456083709,0.000123629260153659,2
80,43,2,0.355774827413699,0.643432285870781,0.000792886715519993,2
100,22,1,0.998459211319702,0.00154077685683469,1.18234630562549e-08,2
67,53,2,0.0152818373956458,0.973672496943924,0.0110456656604299,3
76,45,2,0.200051082061332,0.798532885482787,0.00141603245588039,3
81,46,2,0.199937962989513,0.797531141244257,0.00253089576622989,2
80,31,1,0.942568498462563,0.0574294792967283,2.02224070899626e-06,2
76,36,1,0.761078337608813,0.2388922198924,2.94424987865653e-05,2
91,52,2,0.072761362349729,0.897406900942889,0.0298317367073816,1
74,39,1,0.549219882054423,0.450659616457331,0.000120501488246073,3
75,51,2,0.0412493960117426,0.949344845498725,0.00940575848953197,3
